time,probability
0.000000,1.000000
0.021333,0.000111
0.042667,0.000000
0.064000,0.000000
0.085333,0.000000
0.106667,0.000000
0.128000,0.000000
0.149333,0.000000
0.170667,0.000000
0.192000,0.000000
0.213333,0.000000
0.234667,0.009075
0.256000,0.486752
0.277333,0.000000
0.298667,0.000000
0.320000,0.000000
0.341333,0.000000
0.362667,0.000000
0.384000,0.000000
0.405333,0.000000
0.426667,0.000000
0.448000,0.000000
0.469333,0.000000
0.490667,0.175131
0.512000,0.056135
0.533333,0.000000
0.554667,0.000000
0.576000,0.000000
0.597333,0.000000
0.618667,0.000000
0.640000,0.000000
0.661333,0.000000
0.682667,0.000000
0.704000,0.000000
0.725333,0.000005
0.746667,0.800737
0.768000,0.001534
0.789333,0.000000
0.810667,0.000000
0.832000,0.000000
0.853333,0.000000
0.874667,0.000000
0.896000,0.000000
0.917333,0.000000
0.938667,0.000000
0.960000,0.000000
0.981333,0.000941
1.002667,0.867428
1.024000,0.000000
1.045333,0.000000
1.066667,0.000000
1.088000,0.000000
1.109333,0.000000
1.130667,0.000000
1.152000,0.000000
1.173333,0.000000
1.194667,0.000000
1.216000,0.000000
1.237333,0.040401
1.258667,0.222635
1.280000,0.000000
1.301333,0.000000
1.322667,0.000000
1.344000,0.000000
1.365333,0.000000
1.386667,0.000000
1.408000,0.000000
1.429333,0.000000
1.450667,0.000000
1.472000,0.000000
1.493333,0.411112
1.514667,0.013538
1.536000,0.000000
1.557333,0.000000
1.578667,0.000000
1.600000,0.000000
1.621333,0.000000
1.642667,0.000000
1.664000,0.000000
1.685333,0.000000
1.706667,0.000000
1.728000,0.000063
1.749333,0.991151
1.770667,0.000195
1.792000,0.000000
1.813333,0.000000
1.834667,0.000000
1.856000,0.000000
1.877333,0.000000
1.898667,0.000000
1.920000,0.000000
1.941333,0.000000
1.962667,0.000000
1.984000,0.005976
2.005333,0.566154
2.026667,0.000000
2.048000,0.000000
2.069333,0.000000
2.090667,0.000000
2.112000,0.000000
2.133333,0.000000
2.154667,0.000000
2.176000,0.000000
2.197333,0.000000
2.218667,0.000000
2.240000,0.135335
2.261333,0.076621
2.282667,0.000000
2.304000,0.000000
2.325333,0.000000
2.346667,0.000000
2.368000,0.000000
2.389333,0.000000
2.410667,0.000000
2.432000,0.000000
2.453333,0.000000
2.474667,0.000003
2.496000,0.726149
2.517333,0.002457
2.538667,0.000000
2.560000,0.000000
2.581333,0.000000
2.602667,0.000000
2.624000,0.000000
2.645333,0.000000
2.666667,0.000000
2.688000,0.000000
2.709333,0.000000
2.730667,0.000567
2.752000,0.923116
2.773333,0.000000
2.794667,0.000000
2.816000,0.000000
2.837333,0.000000
2.858667,0.000000
2.880000,0.000000
2.901333,0.000000
2.922667,0.000000
2.944000,0.000000
2.965333,0.000000
2.986667,0.028566
3.008000,0.278037
3.029333,0.000000
3.050667,0.000000
3.072000,0.000000
